bribe_title,name,transaction,amount,date,location,views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Paid bribe for birth certificate,,Certificates,"Paid INR 4,000",18-Nov-19,"Guntur
                      , Andhra Pradesh",185 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Chennai
                      , Tamil Nadu",230 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mysore
                      , Karnataka",214 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Mangalore
                      , Karnataka",167 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
Best Silencer Air+ Wireless Follow Focus 2019,,Others,Paid INR 875,18-Nov-19,"Adari
                      , Uttar Pradesh",137 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Constable asked for bribe,,Policies and Procedures,"Paid INR 1,000",18-Nov-19,"Ramagundam
                      , Telangana",119 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,00,000",18-Nov-19,"Bangalore
                      , Karnataka",142 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
LEGAL METROLOGY,,Others,Paid INR 650,18-Nov-19,"Rajahmundry
                      , Andhra Pradesh",115 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
No license,Police,Autorickshaws,Paid INR 500,18-Nov-19,"Guntakal
                      , Andhra Pradesh",205 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
Police verification for passport,,Verification and Certificates,Paid INR 200,17-Nov-19,"Vadodara
                      , Gujarat",173 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,,Loans,"Paid INR 3,000",16-Nov-19,"Pithoragarh
                      , Uttarakhand",161 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Bribe Rs 45000 to ESE Bokaro for payment,,Services,"Paid INR 45,000",15-Nov-19,"Bokaro
                      , Jharkhand",147 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Nandi Hills,Others,Others,Paid INR 300,15-Nov-19,"Bangalore
                      , Karnataka",248 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
"Pariksha Bhavan, Bangalore University",,Certificates,Paid INR 100,15-Nov-19,"Bangalore
                      , Karnataka",186 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Police verification,,Policies and Procedures,Paid INR 200,15-Nov-19,"Gondiya
                      , Maharashtra",151 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
I paid a Bribe,,Land Registration,"Paid INR 30,000",15-Nov-19,"Bangalore
                      , Karnataka",160 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
For drug license,Food and Drug Administration,License for Sale of Drugs,"Paid INR 20,000",14-Nov-19,"Sagar
                      , Madhya Pradesh",203 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Corruption in jal nigam in dehradun,,Water Connection,"Paid INR 1,500",13-Nov-19,"Dehradun
                      , Uttarakhand",200 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 2,00,00,000",13-Nov-19,"Belgaum
                      , Karnataka",272 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
"Hello men and women, If you are in financial crisis. Here is an…",Others,Others,"Paid INR 20,00,00,000",13-Nov-19,"Hubli
                      , Karnataka",211 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Ticket checker take 200,,,Paid INR 200,13-Nov-19,"Rewari
                      , Haryana",225 views
Solar net meter connection,Electricity and Power Supply,Change of Tariff in Domestic to Commercial,"Paid INR 2,000",11-Nov-19,"Nashik
                      , Maharashtra",203 views
I paid a bribe to TTR,,Ticket and Seat Related,Paid INR 100,11-Nov-19,"Katpadi
                      , Tamil Nadu",197 views
Rs. 500 asked for issuing salary acquittance,Education,College Leaving Certificate,Paid INR 500,11-Nov-19,"Coimbatore
                      , Tamil Nadu",198 views
Paid bribe to RTO Motor Vehicle Inspector through broker,,Vehicle Fitness,"Paid INR 3,000",11-Nov-19,"Chennai
                      , Tamil Nadu",204 views
Padwad name of officer,,Customs Check and Clearance,"Paid INR 20,000",10-Nov-19,"Banda
                      , Uttar Pradesh",147 views
Near zeromile(hfc gate)chek post.,,FIR and Complaints,Paid INR 100,10-Nov-19,"Begusarai
                      , Bihar",97 views
I Think I Paid a Bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",152 views
I think I paid a bribe,,"Traffic Fines, Penalties, Rules",Paid INR 300,09-Nov-19,"Jaipur
                      , Rajasthan",139 views
Chief Fire Officer demanded large sums for handing over the Fire Advisory,,Others,"Paid INR 2,00,000",07-Nov-19,"Bangalore
                      , Karnataka",217 views
